                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35678,                 0.9822,                 1.0215,                0.34934,                0.73209,                0.38365,                0.36368,                0.26451,                 0.7447,                 1.0495,               0.006535,               0.006535,               0.006535
                     37,                0.35359,                0.97806,                 1.0195,                0.34774,                0.73839,                0.38689,                 0.3667,                 0.2637,                 0.7418,                 1.0469,               0.006436,               0.006436,               0.006436
                     38,                 0.3539,                0.97313,                 1.0221,                0.34915,                 0.7384,                 0.3877,                0.36907,                0.26326,                0.74007,                 1.0455,               0.006337,               0.006337,               0.006337
                     39,                0.35298,                0.97129,                 1.0184,                0.34556,                0.74049,                0.38664,                0.36766,                0.26356,                0.74201,                  1.045,               0.006238,               0.006238,               0.006238
                     40,                 0.3525,                0.97998,                 1.0187,                0.35002,                0.73297,                0.38935,                0.37051,                 0.2633,                0.73855,                 1.0443,               0.006139,               0.006139,               0.006139
                     41,                0.34994,                0.96571,                 1.0173,                0.35089,                0.73819,                0.38716,                0.36923,                0.25992,                0.73461,                  1.041,                0.00604,                0.00604,                0.00604
                     42,                0.34422,                0.96396,                 1.0118,                 0.3497,                0.73874,                0.38525,                0.36744,                0.26001,                0.73488,                 1.0404,               0.005941,               0.005941,               0.005941
                     43,                0.34329,                0.96197,                  1.012,                0.35039,                0.73973,                0.38877,                0.36938,                0.26002,                0.73212,                 1.0407,               0.005842,               0.005842,               0.005842
                     44,                0.34401,                 0.9618,                 1.0108,                 0.3506,                 0.7434,                0.38953,                0.37008,                0.26093,                0.73238,                 1.0418,               0.005743,               0.005743,               0.005743
                     45,                0.34248,                0.95737,                 1.0102,                0.54973,                0.74237,                0.39013,                0.37129,                0.25782,                0.72778,                 1.0399,               0.005644,               0.005644,               0.005644
                     46,                0.33816,                0.96009,                 1.0075,                0.35223,                0.74133,                0.38898,                0.37065,                0.25588,                 0.7283,                 1.0392,               0.005545,               0.005545,               0.005545
                     47,                0.33792,                0.95892,                 1.0059,                0.55078,                0.73974,                0.39001,                0.37147,                0.25507,                0.72731,                 1.0363,               0.005446,               0.005446,               0.005446
                     48,                0.33392,                0.95215,                 1.0028,                0.55277,                0.74388,                0.38956,                0.37128,                0.25447,                0.72605,                 1.0359,               0.005347,               0.005347,               0.005347
                     49,                0.33567,                0.95004,                  1.004,                0.55279,                0.74544,                0.38958,                0.37137,                0.25425,                0.72538,                 1.0362,               0.005248,               0.005248,               0.005248
                     50,                0.33208,                0.94649,                 1.0001,                0.55305,                0.74462,                0.39019,                0.37221,                0.25324,                0.72359,                 1.0337,               0.005149,               0.005149,               0.005149
